,TimeAtTheTile,TimeAtTheTile,TimeAtTheTile,TimeAtTheTile,TimeAtTheTile,TimeAtTheTile,TileTimePercent_Audio,TileTimePercent_Audio,TileTimePercent_Audio,TileTimePercent_Audio,TileTimePercent_Audio,TileTimePercent_Audio,SelfReportedLiking,SelfReportedLiking,SelfReportedLiking,SelfReportedLiking,SelfReportedLiking,SelfReportedLiking,FI_Valence,FI_Valence,FI_Valence,FI_Valence,FI_Valence,FI_Valence,FI_MaxIntensity,FI_MaxIntensity,FI_MaxIntensity,FI_MaxIntensity,FI_MaxIntensity,FI_MaxIntensity,GazeTime,GazeTime,GazeTime,GazeTime,GazeTime,GazeTime,GazePercent_Audio,GazePercent_Audio,GazePercent_Audio,GazePercent_Audio,GazePercent_Audio,GazePercent_Audio,Audio_AvgValence,Audio_AvgValence,Audio_AvgValence,Audio_AvgValence,Audio_AvgValence,Audio_AvgValence,Audio_DominantEmotionIntensity,Audio_DominantEmotionIntensity,Audio_DominantEmotionIntensity,Audio_DominantEmotionIntensity,Audio_DominantEmotionIntensity,Audio_DominantEmotionIntensity,SaccadeRate,SaccadeRate,SaccadeRate,SaccadeRate,SaccadeRate,SaccadeRate,ReactionTime,ReactionTime,ReactionTime,ReactionTime,ReactionTime,ReactionTime
,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count
TourType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,87.24,22.84,86.29,57.33,185.59,105,120.63,15.11,116.26,107.47,212.67,105,22.99,12.21,23.0,1.5,42.5,105,1.83,14.01,0.0,-37.07,45.03,102,15.26,20.63,0.0,0.0,82.62,102,52.08,19.45,52.42,6.0,96.1,105,73.4,19.42,78.75,22.44,99.8,105,0.11,9.49,0.0,-31.1,31.66,105,12.26,15.21,5.19,0.0,59.5,105,9.29,5.07,7.8,3.25,27.84,105,7.62,9.3,5.64,1.54,74.06,105
2,99.19,35.49,90.7,59.69,268.14,112,138.36,41.31,119.65,107.02,307.22,112,23.47,12.67,22.5,1.0,42.5,112,3.6,15.2,0.0,-49.28,46.34,112,19.34,25.34,0.0,0.0,98.2,112,53.91,18.76,55.27,5.7,94.56,112,74.31,20.2,81.12,10.53,99.08,112,-2.03,7.59,-1.59,-20.84,26.18,112,13.49,10.08,10.9,0.43,55.28,112,8.39,2.65,7.68,2.65,15.9,112,12.52,16.01,6.61,1.11,63.41,112
3,89.23,32.02,83.94,55.62,286.8,84,123.62,33.44,114.48,106.93,328.6,84,20.83,12.1,21.25,1.0,42.5,84,-1.49,15.53,0.0,-36.93,34.12,84,23.19,21.18,22.74,0.0,72.24,84,57.97,18.47,57.02,5.06,109.84,84,79.27,16.67,84.06,7.82,98.46,84,-3.18,9.08,-2.26,-29.51,16.8,84,16.22,12.46,12.58,1.58,51.92,84,8.91,2.56,8.52,4.36,17.03,84,7.85,12.23,5.08,0.01,74.74,84
