Feature,SpearmanRho,p_value
GazePercent_Audio,0.091,0.1183
Audio_AvgValence,-0.068,0.2416
GazeTime,0.052,0.3693
FI_MaxIntensity,0.04,0.4918
TileTimePercent_Audio,0.033,0.5755
Audio_DominantEmotionIntensity,-0.031,0.5948
FI_Valence,-0.026,0.6524
ReactionTime,-0.01,0.8589
TimeAtTheTile,-0.005,0.9383
SaccadeRate,-0.004,0.9384
