Metric,H-stat,p-value
Audio_DominantEmotionIntensity,18.565,0.0001
TileTimePercent_Audio,14.464,0.0007
Audio_AvgValence,9.614,0.0082
TimeAtTheTile,9.465,0.0088
ReactionTime,8.436,0.0147
FI_MaxIntensity,7.521,0.0233
GazePercent_Audio,5.397,0.0673
FI_Valence,4.974,0.0831
GazeTime,3.607,0.1647
SaccadeRate,2.938,0.2301
SelfReportedLiking,2.299,0.3168
