Painting,Metric,TourType,SpearmanRho,p-value,N
Klimt,SaccadeRate,Type 1.0,-0.535,0.0397,15
Klimt,ReactionTime,Type 3.0,-0.585,0.0455,12
Klimt,FI_Valence,Type 3.0,-0.549,0.0644,12
Klimt,GazePercent_Audio,Type 2.0,0.47,0.0664,16
Klimt,GazeTime,All,0.281,0.0678,43
Klimt,SelfReportedLiking,All,0.275,0.074,43
Klimt,GazePercent_Audio,All,0.266,0.0845,43
Klimt,ReactionTime,Type 2.0,0.407,0.1176,16
Klimt,FI_Valence,Type 1.0,0.398,0.1413,15
Klimt,SaccadeRate,Type 2.0,-0.376,0.1515,16
Klimt,TileTimePercent_Audio,Type 2.0,0.376,0.1515,16
Klimt,TimeAtTheTile,Type 2.0,0.376,0.1515,16
Klimt,SaccadeRate,All,-0.217,0.1613,43
Klimt,GazePercent_Audio,Type 3.0,-0.418,0.1762,12
Klimt,GazeTime,Type 2.0,0.344,0.1914,16
Klimt,TileTimePercent_Audio,Type 3.0,-0.362,0.247,12
Klimt,TimeAtTheTile,Type 3.0,-0.362,0.247,12
Klimt,SelfReportedLiking,Type 3.0,0.341,0.2788,12
Klimt,GazeTime,Type 3.0,-0.307,0.3324,12
Klimt,Audio_AvgValence,Type 3.0,-0.251,0.4316,12
Klimt,FI_Valence,Type 2.0,0.201,0.4562,16
Klimt,TileTimePercent_Audio,Type 1.0,0.189,0.5,15
Klimt,TimeAtTheTile,Type 1.0,0.189,0.5,15
Klimt,Audio_DominantEmotionIntensity,All,0.099,0.5262,43
Klimt,SelfReportedLiking,Type 1.0,0.168,0.5499,15
Klimt,FI_Valence,All,0.093,0.5535,43
Klimt,TileTimePercent_Audio,All,0.086,0.5825,43
Klimt,TimeAtTheTile,All,0.086,0.5825,43
Klimt,Audio_AvgValence,All,-0.084,0.5907,43
Klimt,Audio_DominantEmotionIntensity,Type 1.0,0.142,0.614,15
Klimt,SelfReportedLiking,Type 2.0,0.133,0.6243,16
Klimt,ReactionTime,All,0.071,0.6499,43
Klimt,SaccadeRate,Type 3.0,0.139,0.6657,12
Klimt,FI_MaxIntensity,Type 1.0,0.098,0.7293,15
Klimt,Audio_AvgValence,Type 1.0,-0.079,0.7801,15
Klimt,Audio_DominantEmotionIntensity,Type 3.0,-0.084,0.7961,12
Klimt,Audio_DominantEmotionIntensity,Type 2.0,0.063,0.8178,16
Klimt,ReactionTime,Type 1.0,0.063,0.8235,15
Klimt,FI_MaxIntensity,All,0.016,0.9205,43
Klimt,FI_MaxIntensity,Type 3.0,-0.029,0.9289,12
Klimt,Audio_AvgValence,Type 2.0,0.0,1.0,16
Klimt,FI_MaxIntensity,Type 2.0,0.0,1.0,16
Picasso,SelfReportedLiking,All,0.366,0.0159,43
Picasso,Audio_DominantEmotionIntensity,Type 1.0,0.589,0.0208,15
Picasso,FI_MaxIntensity,Type 3.0,-0.536,0.0726,12
Picasso,FI_Valence,Type 3.0,-0.536,0.0726,12
Picasso,SelfReportedLiking,Type 2.0,0.455,0.0769,16
Picasso,GazePercent_Audio,All,0.272,0.0781,43
Picasso,Audio_DominantEmotionIntensity,All,0.269,0.0805,43
Picasso,GazeTime,All,0.259,0.0935,43
Picasso,ReactionTime,All,-0.257,0.0962,43
Picasso,Audio_AvgValence,Type 3.0,-0.48,0.1139,12
Picasso,Audio_DominantEmotionIntensity,Type 3.0,-0.48,0.1139,12
Picasso,SaccadeRate,Type 3.0,-0.48,0.1139,12
Picasso,TileTimePercent_Audio,Type 3.0,-0.48,0.1139,12
Picasso,TimeAtTheTile,Type 3.0,-0.48,0.1139,12
Picasso,GazePercent_Audio,Type 2.0,0.392,0.1331,16
Picasso,FI_MaxIntensity,Type 1.0,0.393,0.1645,14
Picasso,SelfReportedLiking,Type 3.0,0.423,0.1707,12
Picasso,GazeTime,Type 2.0,0.336,0.2031,16
Picasso,GazePercent_Audio,Type 3.0,0.393,0.2063,12
Picasso,GazeTime,Type 3.0,0.393,0.2063,12
Picasso,ReactionTime,Type 2.0,-0.322,0.2234,16
Picasso,SelfReportedLiking,Type 1.0,0.318,0.2483,15
Picasso,ReactionTime,Type 3.0,-0.306,0.3339,12
Picasso,Audio_AvgValence,All,-0.142,0.3635,43
Picasso,FI_Valence,Type 1.0,0.197,0.5007,14
Picasso,Audio_AvgValence,Type 2.0,-0.168,0.5339,16
Picasso,TileTimePercent_Audio,All,-0.092,0.5577,43
Picasso,TimeAtTheTile,All,-0.09,0.5667,43
Picasso,SaccadeRate,Type 2.0,-0.14,0.6047,16
Picasso,ReactionTime,Type 1.0,-0.131,0.6406,15
Picasso,FI_Valence,All,-0.074,0.6407,42
Picasso,GazeTime,Type 1.0,0.131,0.6419,15
Picasso,FI_MaxIntensity,All,0.069,0.6639,42
Picasso,Audio_DominantEmotionIntensity,Type 2.0,0.098,0.7178,16
Picasso,GazePercent_Audio,Type 1.0,0.098,0.7277,15
Picasso,FI_MaxIntensity,Type 2.0,0.093,0.7331,16
Picasso,TileTimePercent_Audio,Type 2.0,-0.07,0.7965,16
Picasso,TimeAtTheTile,Type 2.0,-0.07,0.7965,16
Picasso,SaccadeRate,Type 1.0,0.065,0.8167,15
Picasso,FI_Valence,Type 2.0,-0.062,0.8204,16
Picasso,SaccadeRate,All,-0.023,0.8837,43
Picasso,Audio_AvgValence,Type 1.0,0.033,0.9078,15
Picasso,TileTimePercent_Audio,Type 1.0,0.033,0.9078,15
Picasso,TimeAtTheTile,Type 1.0,0.033,0.9078,15
Pollock,GazePercent_Audio,Type 2.0,0.504,0.0465,16
Pollock,GazeTime,Type 2.0,0.476,0.0623,16
Pollock,SelfReportedLiking,Type 1.0,-0.395,0.1448,15
Pollock,ReactionTime,Type 1.0,-0.384,0.1578,15
Pollock,SaccadeRate,Type 2.0,-0.364,0.1657,16
Pollock,TileTimePercent_Audio,Type 1.0,-0.349,0.2024,15
Pollock,TimeAtTheTile,Type 1.0,-0.349,0.2024,15
Pollock,GazePercent_Audio,All,0.18,0.2482,43
Pollock,Audio_DominantEmotionIntensity,Type 1.0,-0.314,0.2543,15
Pollock,SelfReportedLiking,Type 3.0,0.353,0.2607,12
Pollock,FI_MaxIntensity,Type 3.0,0.349,0.2663,12
Pollock,GazeTime,Type 1.0,-0.279,0.3137,15
Pollock,FI_MaxIntensity,Type 1.0,-0.27,0.3299,15
Pollock,FI_Valence,All,-0.124,0.4288,43
Pollock,SaccadeRate,All,-0.12,0.4435,43
Pollock,SelfReportedLiking,All,0.117,0.4564,43
Pollock,SelfReportedLiking,Type 2.0,0.2,0.4579,16
Pollock,FI_Valence,Type 2.0,-0.199,0.46,16
Pollock,Audio_AvgValence,Type 2.0,0.196,0.4668,16
Pollock,Audio_AvgValence,Type 3.0,-0.221,0.4906,12
Pollock,Audio_DominantEmotionIntensity,Type 2.0,0.168,0.5336,16
Pollock,TimeAtTheTile,All,-0.094,0.5499,43
Pollock,TileTimePercent_Audio,All,-0.094,0.55,43
Pollock,GazeTime,All,0.09,0.5661,43
Pollock,FI_Valence,Type 3.0,-0.178,0.5806,12
Pollock,Audio_DominantEmotionIntensity,All,-0.086,0.5824,43
Pollock,Audio_DominantEmotionIntensity,Type 3.0,0.171,0.5943,12
Pollock,GazePercent_Audio,Type 3.0,0.171,0.5943,12
Pollock,SaccadeRate,Type 3.0,0.171,0.5943,12
Pollock,Audio_AvgValence,Type 1.0,0.14,0.6198,15
Pollock,GazePercent_Audio,Type 1.0,-0.14,0.6198,15
Pollock,FI_MaxIntensity,Type 2.0,0.114,0.675,16
Pollock,ReactionTime,Type 2.0,0.084,0.7571,16
Pollock,FI_Valence,Type 1.0,0.074,0.7944,15
Pollock,ReactionTime,All,-0.039,0.8021,43
Pollock,SaccadeRate,Type 1.0,0.07,0.8048,15
Pollock,TimeAtTheTile,Type 3.0,-0.074,0.8202,12
Pollock,GazeTime,Type 3.0,0.073,0.8205,12
Pollock,TileTimePercent_Audio,Type 3.0,-0.073,0.8205,12
Pollock,FI_MaxIntensity,All,0.015,0.9223,43
Pollock,Audio_AvgValence,All,0.015,0.924,43
Pollock,ReactionTime,Type 3.0,0.024,0.9398,12
Pollock,TileTimePercent_Audio,Type 2.0,0.0,1.0,16
Pollock,TimeAtTheTile,Type 2.0,0.0,1.0,16
de Chirico,SelfReportedLiking,All,0.585,0.0,43
de Chirico,SelfReportedLiking,Type 2.0,0.844,0.0,16
de Chirico,ReactionTime,Type 2.0,0.532,0.0339,16
de Chirico,SaccadeRate,Type 2.0,0.49,0.0538,16
de Chirico,FI_MaxIntensity,All,-0.297,0.0559,42
de Chirico,TimeAtTheTile,Type 2.0,0.449,0.0812,16
de Chirico,TileTimePercent_Audio,Type 2.0,0.448,0.0817,16
de Chirico,SelfReportedLiking,Type 1.0,0.459,0.0852,15
