,AvgSelfReportedLiking,AvgSelfReportedLiking,AvgSelfReportedLiking,AvgSelfReportedLiking,AvgSelfReportedLiking,AvgSelfReportedLiking,AvgGazeTime,AvgGazeTime,AvgGazeTime,AvgGazeTime,AvgGazeTime,AvgGazeTime,AvgGazePercent_Audio,AvgGazePercent_Audio,AvgGazePercent_Audio,AvgGazePercent_Audio,AvgGazePercent_Audio,AvgGazePercent_Audio,AvgFI_Valence,AvgFI_Valence,AvgFI_Valence,AvgFI_Valence,AvgFI_Valence,AvgFI_Valence,AvgAudio_Valence,AvgAudio_Valence,AvgAudio_Valence,AvgAudio_Valence,AvgAudio_Valence,AvgAudio_Valence,AvgAudio_DominantIntensity,AvgAudio_DominantIntensity,AvgAudio_DominantIntensity,AvgAudio_DominantIntensity,AvgAudio_DominantIntensity,AvgAudio_DominantIntensity,AvgSaccadeRate,AvgSaccadeRate,AvgSaccadeRate,AvgSaccadeRate,AvgSaccadeRate,AvgSaccadeRate,Engagement_High,Engagement_High,Engagement_High,Engagement_High,Engagement_High,Engagement_High,Engagement_Moderate,Engagement_Moderate,Engagement_Moderate,Engagement_Moderate,Engagement_Moderate,Engagement_Moderate,Engagement_Low,Engagement_Low,Engagement_Low,Engagement_Low,Engagement_Low,Engagement_Low,NumPaintings_JoyOrSurprise,NumPaintings_JoyOrSurprise,NumPaintings_JoyOrSurprise,NumPaintings_JoyOrSurprise,NumPaintings_JoyOrSurprise,NumPaintings_JoyOrSurprise,TotalExperimentTime,TotalExperimentTime,TotalExperimentTime,TotalExperimentTime,TotalExperimentTime,TotalExperimentTime,AvgSpeed,AvgSpeed,AvgSpeed,AvgSpeed,AvgSpeed,AvgSpeed,TotalDistance,TotalDistance,TotalDistance,TotalDistance,TotalDistance,TotalDistance,TimeStill,TimeStill,TimeStill,TimeStill,TimeStill,TimeStill,TimeMoving,TimeMoving,TimeMoving,TimeMoving,TimeMoving,TimeMoving,Q1_SatisfactionTour,Q1_SatisfactionTour,Q1_SatisfactionTour,Q1_SatisfactionTour,Q1_SatisfactionTour,Q1_SatisfactionTour,Q2_SatisfactionExplanations,Q2_SatisfactionExplanations,Q2_SatisfactionExplanations,Q2_SatisfactionExplanations,Q2_SatisfactionExplanations,Q2_SatisfactionExplanations,Q3_VisitDuration,Q3_VisitDuration,Q3_VisitDuration,Q3_VisitDuration,Q3_VisitDuration,Q3_VisitDuration,Q4_WantMoreExplanations,Q4_WantMoreExplanations,Q4_WantMoreExplanations,Q4_WantMoreExplanations,Q4_WantMoreExplanations,Q4_WantMoreExplanations,Q5_VisitAgainThisMuseum,Q5_VisitAgainThisMuseum,Q5_VisitAgainThisMuseum,Q5_VisitAgainThisMuseum,Q5_VisitAgainThisMuseum,Q5_VisitAgainThisMuseum,Q6_VisitOtherMuseums,Q6_VisitOtherMuseums,Q6_VisitOtherMuseums,Q6_VisitOtherMuseums,Q6_VisitOtherMuseums,Q6_VisitOtherMuseums,Q7_RecommendFriends,Q7_RecommendFriends,Q7_RecommendFriends,Q7_RecommendFriends,Q7_RecommendFriends,Q7_RecommendFriends,AvgGeneralRating,AvgGeneralRating,AvgGeneralRating,AvgGeneralRating,AvgGeneralRating,AvgGeneralRating
,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count
TourType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22.98,5.83,23.71,11.0,32.64,15,52.08,11.95,55.33,28.32,68.03,15,73.4,14.89,77.6,42.25,91.11,15,1.77,9.56,0.0,-12.71,23.56,15,0.11,8.94,0.15,-20.58,14.74,15,12.26,14.81,5.97,0.44,50.39,15,9.29,4.54,7.89,5.06,24.35,15,0.0,0.0,0.0,0,0,15,0.67,1.45,0.0,0,5,15,6.33,1.45,7.0,2,7,15,4.2,2.62,4.0,1,7,15,665.18,50.5,654.27,601.06,767.86,15,0.11,0.03,0.1,0.07,0.18,15,75.53,28.94,63.84,48.89,137.65,15,142.16,55.64,138.74,61.96,259.4,15,547.0,111.22,549.92,396.74,817.88,15,21.27,12.06,18.0,1,36,15,22.53,11.89,20.0,1,35,15,22.27,12.71,27.0,10,39,15,19.93,13.0,27.0,1,40,15,21.2,13.26,20.0,1,35,15,17.6,12.25,21.0,1,36,15,20.0,12.68,18.0,3,34,15,21.02,9.31,24.14,5.93,34.86,15
2,23.47,6.28,23.92,13.0,35.93,16,53.91,11.07,56.55,20.61,68.11,16,74.32,15.76,78.94,26.22,91.55,16,3.6,6.68,1.86,-7.72,13.63,16,-2.03,6.29,0.04,-17.38,9.5,16,13.49,7.66,10.85,5.0,28.81,16,8.39,1.65,8.2,4.74,12.25,16,0.06,0.25,0.0,0,1,16,0.31,0.79,0.0,0,3,16,6.62,1.02,7.0,3,7,16,3.75,2.91,3.0,0,7,16,662.73,77.19,639.81,586.38,851.53,16,0.1,0.02,0.1,0.07,0.15,16,68.93,19.61,63.9,41.83,103.84,16,171.12,64.88,164.12,63.12,271.18,16,504.66,95.27,497.7,374.82,701.78,16,23.31,12.63,18.0,1,36,16,23.69,12.53,27.5,3,35,16,21.06,10.79,27.0,10,39,16,24.19,13.01,27.0,9,40,16,24.81,11.29,27.5,8,35,16,27.88,10.31,36.0,6,36,16,25.94,11.37,34.0,3,34,16,24.7,8.02,26.07,6.07,34.86,16
3,20.83,6.5,20.96,10.29,33.57,12,57.97,7.58,57.79,39.82,68.69,12,79.27,10.53,79.14,54.61,93.72,12,-1.49,11.66,-4.3,-25.62,21.68,12,-3.18,8.57,-1.38,-23.22,9.91,12,16.22,10.68,13.85,4.98,38.23,12,8.91,1.54,9.32,6.15,11.64,12,0.0,0.0,0.0,0,0,12,0.17,0.58,0.0,0,2,12,6.83,0.58,7.0,5,7,12,2.42,2.57,2.0,0,7,12,624.61,63.94,605.67,550.63,787.17,12,0.1,0.03,0.09,0.06,0.17,12,61.44,24.23,55.52,35.59,114.02,12,143.2,59.09,127.48,41.04,253.76,12,497.35,121.79,498.89,325.5,795.46,12,22.5,12.82,18.0,6,36,12,20.83,11.85,20.0,3,35,12,24.75,12.33,27.0,10,44,12,23.83,10.83,27.0,9,40,12,21.0,11.73,20.0,3,35,12,22.67,12.49,21.0,6,36,12,21.92,11.61,18.0,3,34,12,22.83,8.39,23.5,7.57,37.29,12
