ID,Klimt_presence,Klimt_presence_audio,Klimt_gaze,Klimt_gaze_percent,Klimt_saccade_rate,Klimt_engagement,Klimt_valence,Klimt_emotions,van Dongen_presence,van Dongen_presence_audio,van Dongen_gaze,van Dongen_gaze_percent,van Dongen_saccade_rate,van Dongen_engagement,van Dongen_valence,van Dongen_emotions,Braque_presence,Braque_presence_audio,Braque_gaze,Braque_gaze_percent,Braque_saccade_rate,Braque_engagement,Braque_valence,Braque_emotions,Pollock_presence,Pollock_presence_audio,Pollock_gaze,Pollock_gaze_percent,Pollock_saccade_rate,Pollock_engagement,Pollock_valence,Pollock_emotions,de Chirico_presence,de Chirico_presence_audio,de Chirico_gaze,de Chirico_gaze_percent,de Chirico_saccade_rate,de Chirico_engagement,de Chirico_valence,de Chirico_emotions,Janco_presence,Janco_presence_audio,Janco_gaze,Janco_gaze_percent,Janco_saccade_rate,Janco_engagement,Janco_valence,Janco_emotions,Picasso_presence,Picasso_presence_audio,Picasso_gaze,Picasso_gaze_percent,Picasso_saccade_rate,Picasso_engagement,Picasso_valence,Picasso_emotions
123,13.42,15.43,9.52,70.94,1.05,Moderate Engagement,,"joy,joy,neutral,anger,anger,joy,joy",82.82,102.25,50.18,60.59,1.49,Moderate Engagement,,"joy,joy,joy,joy,neutral,surprise,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,joy,joy,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,anger,anger,anger,neutral,neutral",70.18,93.57,60.73,86.53,0.54,Moderate Engagement,,"neutral,joy,neutral,neutral,joy,joy,joy,joy,joy,joy,anger,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,joy,joy,joy,neutral",93.4,107.36,62.55,66.97,0.62,Moderate Engagement,,"joy,joy,joy,joy,joy,neutral,joy,joy,joy,joy,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,anger,neutral,surprise,neutral,neutral,neutral,anger,neutral,neutral,neutral,joy,joy,joy",47.05,98.02,39.2,83.32,0.59,Moderate Engagement,,"joy,neutral,anger,neutral,neutral,neutral,neutral,anger,neutral,anger,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,anger,anger,neutral,neutral",74.68,114.89,60.82,81.44,1.04,Moderate Engagement,,"neutral,joy,joy,joy,joy,joy,neutral,joy,joy,joy,joy,joy,joy,joy,joy,joy,surprise,joy,joy,surprise,surprise,joy,joy,joy,neutral,neutral,anger,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,joy,anger,neutral",58.75,97.92,52.77,89.82,0.59,Moderate Engagement,,"neutral,anger,anger,neutral,anger,neutral,neutral,joy,joy,joy,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,sadness,neutral,anger"
124,7.05,8.1,4.27,60.57,0.47,High Engagement,,"joy,joy,neutral,neutral",75.23,92.88,52.13,69.29,0.36,High Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,anger,anger,neutral,neutral,neutral,neutral",65.88,87.84,58.08,88.16,0.1,High Engagement,,"neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,anger,anger,anger,anger,anger,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral",77.1,88.62,67.33,87.33,0.03,High Engagement,,"anger,anger,anger,anger,anger,anger,anger,anger,anger,neutral,anger,neutral,neutral,neutral,neutral,anger,neutral,neutral,anger,anger,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger",45.43,94.65,34.72,76.43,0.14,High Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,anger,neutral,neutral",76.83,118.2,65.37,85.08,0.38,High Engagement,,"neutral,neutral,neutral,anger,neutral,neutral,anger,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",57.92,96.53,55.58,95.96,0.04,High Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,anger,anger,anger,anger,anger,anger,anger,neutral,neutral,neutral,neutral"
125,96.67,111.11,83.43,86.3,1.32,Moderate Engagement,,"joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",76.0,93.83,68.83,90.57,0.48,High Engagement,,"joy,joy,joy,neutral,neutral,neutral,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",68.95,91.93,58.13,84.31,0.96,Moderate Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",93.22,107.15,70.3,75.41,0.36,High Engagement,,"joy,joy,joy,joy,joy,joy,joy,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral",53.18,110.79,41.67,78.36,0.62,Moderate Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",81.75,125.77,69.07,84.49,0.96,Moderate Engagement,,"joy,neutral,neutral,neutral,neutral,joy,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",53.75,89.58,49.78,92.61,0.66,Moderate Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,joy"
126,79.78,91.7,73.35,91.94,0.01,High Engagement,,"neutral,neutral,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,neutral,neutral,neutral,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,neutral,surprise,surprise,surprise,surprise,surprise,sadness",72.78,89.85,67.75,93.09,0.4,High Engagement,,"neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,neutral,neutral,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",66.37,88.49,59.62,89.83,0.1,High Engagement,,"surprise,neutral,surprise,neutral,neutral,neutral,surprise,neutral,surprise,neutral,neutral,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,surprise",80.37,92.38,70.27,87.43,0.11,High Engagement,,"neutral,neutral,neutral,surprise,sadness,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,anger,surprise,surprise,surprise,surprise,surprise,surprise,joy,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,neutral",46.6,97.08,38.28,82.15,0.34,High Engagement,,"surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,neutral",64.77,99.65,55.97,86.41,0.29,High Engagement,,"neutral,neutral,neutral,neutral,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,neutral,surprise,surprise,neutral,surprise,surprise,surprise,neutral,surprise,surprise,neutral,surprise,neutral,surprise,anger,surprise,neutral,surprise",58.87,98.12,54.18,92.03,0.3,High Engagement,,"neutral,surprise,sadness,neutral,neutral,neutral,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,neutral,neutral,surprise,surprise"
127,87.82,100.94,80.65,91.84,0.32,High Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",77.93,96.21,70.35,90.27,0.63,Moderate Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",75.88,101.17,63.42,83.58,0.47,High Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,joy,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",89.88,103.31,74.23,82.59,0.47,High Engagement,,"neutral,anger,anger,neutral,anger,anger,anger,anger,anger,anger,anger,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,joy,joy,surprise,sadness,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",55.18,114.96,43.15,78.2,0.58,Moderate Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",84.02,129.26,70.95,84.44,0.86,Moderate Engagement,,"neutral,surprise,neutral,neutral,neutral,neutral,neutral,anger,anger,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",59.1,98.5,54.13,91.59,0.37,High Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral"
128,81.02,93.13,71.82,88.64,0.49,High Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,anger,neutral,neutral,neutral,anger,anger,neutral,neutral,neutral,neutral,neutral,neutral,sadness,anger,anger,neutral,neutral,neutral,anger,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",80.03,98.8,60.93,76.13,0.92,Moderate Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",69.97,93.29,56.47,80.71,0.58,Moderate Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",91.88,105.61,48.02,52.26,0.52,Moderate Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,sadness,sadness,neutral,neutral,neutral,neutral,neutral,neutral,anger,sadness,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",48.52,101.08,35.15,72.44,0.57,Moderate Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral",70.12,107.88,62.57,89.23,0.5,High Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,sadness,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral",57.03,95.05,52.47,92.0,0.19,High Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral"
129,76.42,87.84,63.78,83.46,0.44,High Engagement,,"neutral,neutral,surprise,neutral,neutral,neutral,surprise,neutral,surprise,surprise,surprise,neutral,surprise,surprise,neutral,surprise,surprise,neutral,surprise,surprise,neutral,neutral,neutral,surprise,surprise,neutral,neutral,surprise,neutral,surprise,surprise,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral",71.82,88.67,60.32,83.99,0.93,Moderate Engagement,,"neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",64.9,86.53,47.18,72.7,1.04,Moderate Engagement,,"neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",77.15,88.68,61.53,79.75,0.34,High Engagement,,"neutral,neutral,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,surprise,neutral,surprise,surprise,neutral,neutral,neutral,surprise,neutral,neutral,neutral,surprise,neutral,neutral,neutral",45.1,93.96,36.37,80.64,1.02,Moderate Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",61.53,94.66,44.92,73.01,1.22,Moderate Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",56.53,94.22,43.15,76.33,0.81,Moderate Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,sadness,anger,surprise,neutral,neutral,neutral,neutral,neutral"
130,19.03,21.87,11.95,62.8,1.76,Low Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",12.83,15.84,4.08,31.8,5.88,Low Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral",13.13,17.51,9.63,73.34,1.66,Low Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral",40.05,46.03,26.63,66.49,0.49,High Engagement,,"neutral,neutral,neutral,joy,joy,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",51.63,107.56,42.98,83.25,0.35,High Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",78.72,121.11,70.77,89.9,0.3,High Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",49.18,81.97,46.35,94.25,0.24,High Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral"
131,87.28,100.32,74.18,84.99,0.75,Moderate Engagement,,"neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,surprise,neutral,surprise,surprise,surprise,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,joy,surprise",45.53,56.21,10.8,23.72,3.7,Low Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,joy,neutral,neutral,neutral",70.47,93.96,57.78,81.99,0.61,Moderate Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral",79.53,91.41,45.63,57.37,0.72,Moderate Engagement,,"neutral,neutral,neutral,neutral,surprise,neutral,neutral,surprise,neutral,neutral,neutral,neutral,surprise,neutral,neutral,surprise,neutral,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",61.87,128.9,40.88,66.07,0.83,Moderate Engagement,,"neutral,neutral,neutral,anger,sadness,sadness,sadness,sadness,joy,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",67.52,103.88,51.58,76.39,0.83,Moderate Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",57.18,95.3,35.07,61.33,0.66,Moderate Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral"
132,81.05,93.16,74.2,91.55,0.28,High Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",78.7,97.16,64.18,81.55,0.92,Moderate Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",67.85,90.47,54.85,80.84,0.33,High Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral",107.05,123.05,52.03,48.6,0.52,Moderate Engagement,,"neutral,joy,joy,joy,neutral,neutral,joy,joy,neutral,neutral,joy,joy,joy,joy,joy,joy,joy,joy,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",49.02,102.12,37.12,75.72,0.57,Moderate Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,anger,neutral",74.25,114.23,60.53,81.52,0.45,High Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",60.42,100.7,57.23,94.72,0.51,Moderate Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral"
133,104.17,119.74,70.82,67.99,0.99,Moderate Engagement,,"neutral,neutral,neutral,neutral,joy,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,anger,anger,anger,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,surprise,joy,surprise,neutral",58.27,71.94,29.28,50.25,1.71,Low Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",72.33,96.44,37.3,51.57,1.8,Low Engagement,,"neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",85.87,98.7,46.35,53.98,1.17,Moderate Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,anger,anger,anger,anger,anger,neutral,neutral,neutral,neutral,anger,neutral,anger,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral",50.48,105.17,30.67,60.76,0.55,Moderate Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",85.82,132.03,46.97,54.73,2.21,Low Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,sadness,neutral,neutral,neutral,neutral,surprise,surprise",66.43,110.72,35.43,53.33,1.83,Low Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,anger,surprise"
