Type,Value,Question,Stat
2 Semi-active,5.0,Please rate how much you liked the artwork..3,median
2 Semi-active,0.55,Please rate how much you liked the artwork..3,se
3 Passive,4.14,Please rate how much you liked the artwork..3,mean
3 Passive,5.0,Please rate how much you liked the artwork..3,median
3 Passive,0.49,Please rate how much you liked the artwork..3,se
1 Fully active,6.29,Please rate how much you liked the artwork..4,mean
1 Fully active,7.0,Please rate how much you liked the artwork..4,median
1 Fully active,0.37,Please rate how much you liked the artwork..4,se
2 Semi-active,5.15,Please rate how much you liked the artwork..4,mean
2 Semi-active,5.0,Please rate how much you liked the artwork..4,median
2 Semi-active,0.37,Please rate how much you liked the artwork..4,se
3 Passive,5.57,Please rate how much you liked the artwork..4,mean
3 Passive,6.0,Please rate how much you liked the artwork..4,median
3 Passive,0.27,Please rate how much you liked the artwork..4,se
1 Fully active,5.64,Please rate how much you liked the artwork..5,mean
1 Fully active,6.0,Please rate how much you liked the artwork..5,median
1 Fully active,0.33,Please rate how much you liked the artwork..5,se
2 Semi-active,5.69,Please rate how much you liked the artwork..5,mean
2 Semi-active,7.0,Please rate how much you liked the artwork..5,median
2 Semi-active,0.56,Please rate how much you liked the artwork..5,se
3 Passive,5.5,Please rate how much you liked the artwork..5,mean
3 Passive,6.0,Please rate how much you liked the artwork..5,median
3 Passive,0.45,Please rate how much you liked the artwork..5,se
1 Fully active,4.71,Please rate how much you liked the artwork..6,mean
1 Fully active,5.0,Please rate how much you liked the artwork..6,median
1 Fully active,0.5,Please rate how much you liked the artwork..6,se
2 Semi-active,5.62,Please rate how much you liked the artwork..6,mean
2 Semi-active,6.0,Please rate how much you liked the artwork..6,median
2 Semi-active,0.39,Please rate how much you liked the artwork..6,se
3 Passive,5.43,Please rate how much you liked the artwork..6,mean
3 Passive,6.0,Please rate how much you liked the artwork..6,median
3 Passive,0.37,Please rate how much you liked the artwork..6,se
