Feature,SpearmanRho,p_value
GazePercent_Audio,0.171,0.0013
TimeAtTheTile,-0.104,0.0504
SaccadeRate,0.079,0.1374
Audio_AvgValence,-0.052,0.3256
FI_Valence,-0.049,0.3584
ReactionTime,-0.034,0.5208
FI_MaxIntensity,0.025,0.6452
Audio_DominantEmotionIntensity,-0.025,0.6419
GazeTime,-0.005,0.9323
