ParticipantID,Painting,TimeAtTheTile,TileTimePercent_Audio,SelfReportedLiking,GazeTime,GazePercent_Audio,SaccadeRate,EngagementLevel,ReactionTime
111,Klimt,122.09,140.3,38.5,94.56,96.6,15.9,low,20.12
111,Pollock,105.42,120.78,14.0,55.28,61.98,9.89,low,7.33
111,van Dongen,90.91,112.54,51.0,73.66,87.87,10.35,low,5.72
111,Braque,85.86,114.97,10.5,45.58,59.52,11.01,low,7.27
111,de Chirico,69.35,142.56,29.0,35.54,71.62,13.31,low,17.43
111,Janco,134.76,206.51,43.5,58.82,86.63,14.47,low,61.1
111,Picasso,68.36,113.74,20.5,57.86,94.07,10.82,low,4.68
118,Klimt,111.59,128.22,51.5,85.02,94.64,10.79,low,17.64
118,Pollock,98.39,112.73,42.0,79.78,90.6,6.22,low,5.08
118,van Dongen,91.65,113.46,27.5,66.7,82.07,5.51,low,5.31
118,Braque,87.34,116.93,37.5,62.34,81.84,6.23,low,7.3
118,de Chirico,59.66,122.64,46.5,47.7,95.89,6.11,low,7.62
118,Janco,75.53,115.77,24.5,63.88,94.63,7.33,low,2.12
118,Picasso,67.01,111.49,51.0,60.1,98.07,4.61,moderate,1.95
127,Klimt,126.89,145.8,20.0,86.44,98.3,12.05,low,32.39
127,Pollock,102.98,117.99,14.0,87.88,95.85,6.88,low,6.9
127,van Dongen,88.25,109.25,14.0,70.36,85.51,7.31,low,3.69
127,Braque,86.8,116.19,46.0,61.94,80.02,6.71,low,6.85
127,de Chirico,60.8,124.99,46.5,43.32,85.69,6.72,low,7.58
127,Janco,78.8,120.79,43.5,55.98,82.34,8.02,low,3.25
127,Picasso,69.61,115.84,37.5,44.94,73.63,7.53,low,2.58
120,Klimt,118.63,136.31,7.5,87.3,97.84,8.59,low,22.72
120,Pollock,286.8,328.6,5.5,109.84,86.34,5.25,low,18.37
120,van Dongen,89.18,110.42,27.5,61.16,75.75,6.7,low,8.97
120,Braque,84.31,112.88,46.0,62.56,83.66,6.37,low,7.5
120,de Chirico,61.13,125.67,29.0,37.74,77.55,7.36,low,9.01
120,Janco,79.48,121.8,8.0,59.32,90.93,7.74,low,15.04
120,Picasso,67.62,112.5,20.5,5.06,7.82,8.8,low,5.0
144,Klimt,169.14,194.33,20.0,85.48,94.71,10.25,low,74.06
144,Pollock,112.2,128.55,42.0,70.82,79.74,5.64,low,13.65
144,van Dongen,90.45,111.98,41.0,59.72,72.73,7.67,low,7.85
144,Braque,85.55,114.54,23.5,47.22,61.03,7.97,low,6.34
144,de Chirico,59.11,121.52,6.0,45.1,90.91,6.95,low,7.57
144,Janco,73.94,113.33,24.5,64.04,96.63,6.98,low,5.64
144,Picasso,65.78,109.44,37.5,60.24,99.8,4.93,moderate,3.61
121,Klimt,114.25,131.27,20.0,57.8,63.11,11.51,low,7.47
121,Pollock,226.72,259.76,30.0,37.18,41.23,6.47,low,2.51
121,van Dongen,95.31,117.99,27.5,21.9,26.36,5.92,low,3.07
121,Braque,105.74,141.57,4.0,59.78,77.28,4.85,moderate,14.33
121,de Chirico,93.56,192.34,6.0,31.06,63.1,6.54,low,36.45
121,Janco,148.76,228.02,4.5,35.26,50.32,7.33,low,39.2
121,Picasso,72.84,121.19,20.5,50.14,82.46,7.46,low,2.23
119,Klimt,117.69,135.22,38.5,83.64,90.51,12.91,low,17.66
119,Pollock,110.03,126.06,51.5,80.64,87.03,8.7,low,3.02
119,van Dongen,96.85,119.89,27.5,71.06,87.74,7.75,low,2.85
119,Braque,88.14,118.0,53.0,31.62,83.07,8.48,low,10.0
119,de Chirico,67.46,138.69,46.5,42.78,87.75,8.74,low,13.96
119,Janco,136.8,209.69,43.5,26.86,92.18,10.87,low,63.12
119,Picasso,68.12,113.34,51.0,32.76,83.52,9.15,low,1.61
126,Klimt,98.63,113.34,1.0,87.86,98.41,10.1,low,4.26
126,Pollock,101.64,116.45,5.5,83.72,94.75,6.03,low,7.09
126,van Dongen,88.25,109.25,41.0,78.98,96.71,5.34,low,3.02
126,Braque,83.16,111.33,23.5,67.66,89.74,7.0,low,6.17
126,de Chirico,58.69,120.63,4.0,44.82,91.12,6.97,low,7.05
126,Janco,74.88,114.77,13.5,63.74,97.36,8.48,low,1.78
126,Picasso,67.92,113.0,1.5,54.02,87.95,7.56,low,2.34
110,Klimt,114.14,131.15,51.5,78.96,85.06,12.54,low,15.35
110,Pollock,102.6,117.55,30.0,59.08,63.97,7.13,low,4.02
110,van Dongen,91.62,113.42,41.0,47.38,57.43,7.23,low,5.05
110,Braque,88.41,118.36,46.0,44.24,57.86,7.33,low,8.47
110,de Chirico,70.23,144.38,6.0,41.36,82.93,8.74,low,15.6
110,Janco,136.27,208.88,24.5,42.52,61.85,8.82,low,16.21
110,Picasso,66.62,110.87,20.5,46.48,76.0,8.12,low,2.22
128,Klimt,151.89,174.52,20.0,78.44,90.16,13.05,low,61.36
128,Pollock,99.9,114.46,5.5,55.46,63.03,6.41,low,5.42
128,van Dongen,87.65,108.51,14.0,60.16,73.82,6.06,low,3.47
128,Braque,84.02,112.49,4.0,59.8,78.87,7.19,low,6.03
128,de Chirico,62.32,128.12,14.0,38.7,79.02,8.23,low,9.81
128,Janco,131.02,200.83,24.5,63.4,96.6,8.11,low,1.4
128,Picasso,66.3,110.31,51.0,57.54,95.77,5.36,low,2.37
153,Klimt,120.4,138.35,51.5,70.7,75.06,10.82,low,14.19
153,Pollock,100.43,115.07,14.0,50.24,57.05,7.21,low,1.59
153,van Dongen,87.19,107.94,51.0,33.98,41.41,7.92,low,4.36
153,Braque,81.6,109.25,10.5,8.68,11.52,12.09,low,5.27
153,de Chirico,128.45,264.05,29.0,36.16,72.73,8.76,low,70.21
153,Janco,73.15,112.13,8.0,53.22,81.63,10.12,low,1.76
153,Picasso,69.42,115.53,10.5,25.76,42.88,10.37,low,2.59
154,Klimt,111.91,128.59,38.5,63.82,69.38,11.51,low,17.57
154,Pollock,101.46,116.24,42.0,46.34,51.34,5.68,low,6.62
154,van Dongen,87.86,108.77,27.5,47.0,57.65,6.49,low,4.33
154,Braque,83.81,112.2,37.5,38.96,51.25,6.92,low,6.84
154,de Chirico,59.23,121.74,29.0,34.56,70.48,7.13,low,7.65
154,Janco,74.33,113.95,43.5,58.24,87.15,7.22,low,3.24
154,Picasso,67.62,112.52,20.5,44.26,72.03,8.51,low,2.27
165,Klimt,98.97,113.72,38.5,89.06,98.9,11.4,low,5.12
165,Pollock,101.82,116.66,21.0,80.96,92.05,7.68,low,6.27
165,van Dongen,98.61,122.09,27.5,73.74,91.21,4.83,moderate,14.49
165,Braque,85.94,115.07,46.0,69.72,92.53,5.93,low,8.14
165,de Chirico,60.88,125.17,46.5,45.36,93.29,5.41,low,9.02
165,Janco,83.79,128.43,43.5,65.68,98.22,6.88,low,2.25
165,Picasso,66.9,111.3,20.5,56.64,94.27,4.51,moderate,2.05
131,Klimt,111.0,127.54,7.5,79.84,90.09,10.88,low,17.89
131,Pollock,97.29,111.47,14.0,54.04,61.93,6.69,low,4.85
131,van Dongen,86.58,107.5,27.5,9.54,12.82,10.53,low,2.95
131,Braque,82.25,110.12,4.0,54.9,73.35,6.19,low,5.79
131,de Chirico,61.5,126.43,14.0,42.1,85.49,5.53,low,9.75
131,Janco,128.55,197.04,43.5,51.78,78.32,6.5,low,58.16
131,Picasso,65.77,109.43,37.5,35.32,57.82,5.94,low,1.35
136,Klimt,150.22,172.61,38.5,78.6,87.77,14.69,low,51.24
136,Pollock,268.14,307.22,51.5,90.12,94.16,6.92,low,6.24
136,van Dongen,93.51,115.76,27.5,72.2,88.11,6.56,low,9.58
136,Braque,88.46,118.43,46.0,70.72,92.58,7.73,low,9.82
136,de Chirico,66.12,135.92,14.0,46.6,95.06,7.53,low,12.16
136,Janco,137.73,211.08,43.5,60.14,88.14,12.09,low,63.41
136,Picasso,70.82,117.83,37.5,58.36,95.01,6.74,low,4.75
107,Klimt,106.66,122.56,51.5,81.2,91.77,12.31,low,13.23
107,Pollock,97.83,112.09,21.0,71.58,81.48,6.67,low,2.05
107,van Dongen,87.73,108.61,51.0,67.78,83.41,6.39,low,3.79
107,Braque,83.35,111.59,23.5,49.34,64.43,7.55,low,5.36
107,de Chirico,59.69,122.69,2.0,40.32,82.93,7.47,low,10.39
107,Janco,126.36,193.68,1.0,54.36,82.92,9.34,low,56.22
107,Picasso,64.31,107.02,51.0,45.5,75.73,8.46,low,1.34
