X,Y,rho,p,N,X_N,X_Mean,X_SD,X_Median,X_Min,X_Max,Y_N,Y_Mean,Y_SD,Y_Median,Y_Min,Y_Max
GazeTime,SelfReportedLiking,0.07228777927741399,0.18621850399072587,336,336.0,54.548333333333325,18.8660308069281,55.480000000000004,5.06,109.84,336.0,28.21577380952381,15.653201131656367,27.5,1.0,53.0
GazePercent_Audio,SelfReportedLiking,0.10552313015142352,0.05330261875013733,336,336.0,75.5740476190476,19.171185428451054,80.84,7.82,99.8,336.0,28.21577380952381,15.653201131656367,27.5,1.0,53.0
SaccadeRate,SelfReportedLiking,-0.023186082078907128,0.6719443592583563,336,336.0,8.858035714285714,3.577786317827563,8.0,2.65,27.84,336.0,28.21577380952381,15.653201131656367,27.5,1.0,53.0
ReactionTime,SelfReportedLiking,-0.05194092694855909,0.34252618229734366,336,336.0,9.130982142857144,12.553212132892979,5.515000000000001,0.01,74.74,336.0,28.21577380952381,15.653201131656367,27.5,1.0,53.0
TimeAtTheTile,SelfReportedLiking,-0.015390326035105664,0.778653128797979,336,336.0,91.48413690476191,29.90287208038432,87.69,55.62,286.8,336.0,28.21577380952381,15.653201131656367,27.5,1.0,53.0
TileTimePercent_Audio,SelfReportedLiking,0.005455048698933931,0.9206453796056915,336,336.0,127.03627976190477,31.399589295236957,116.315,106.93,328.6,336.0,28.21577380952381,15.653201131656367,27.5,1.0,53.0
