Group,Variable,n,median,q1,q3,iqr
All,TimeAtTheTile,336,87.69,69.4025,101.88499999999999,32.48249999999999
All,TileTimePercent_Audio,336,116.315,111.93,125.85749999999999,13.92749999999998
All,SelfReportedLiking,336,27.5,14.0,42.375,28.375
All,GazeTime,336,55.480000000000004,43.065,66.045,22.980000000000004
All,GazePercent_Audio,336,80.84,67.35,89.3375,21.98750000000001
All,SaccadeRate,336,8.0,6.800000000000001,10.467500000000001,3.6675000000000004
All,ReactionTime,336,5.515000000000001,2.8425000000000002,8.485,5.642499999999999
