Metric,101,102,103,104,105,106,107,108,109,110,111,112,113,114,116,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147
van Dongen_gaze,65.67,20.33,49.45,62.4,21.05,7.23,66.53,48.98,34.02,49.9,73.2,47.97,52.22,42.8,14.38,66.55,48.88,57.65,23.55,57.3,50.18,52.13,68.83,67.75,70.35,60.93,60.32,4.08,10.8,64.18,29.28,69.75,65.53,76.17,72.15,56.72,48.62,55.57,51.88,65.02,0.0,55.57,61.03,44.77,55.33
van Dongen_gaze_percent,69.96,53.54,79.82,78.77,28.19,62.22,87.56,60.84,47.69,63.01,91.18,62.36,69.58,55.03,35.79,83.14,74.71,77.18,26.94,76.88,60.59,69.29,90.57,93.09,90.27,76.13,83.99,31.8,23.72,81.55,50.25,89.11,84.94,68.54,88.31,76.94,61.99,71.18,63.62,91.58,0.0,71.18,81.16,55.77,72.4
van Dongen_saccade_rate,0.73,1.87,0.26,0.22,2.85,1.66,0.84,0.86,1.12,0.2,0.16,0.54,0.57,0.7,3.27,0.75,0.2,0.69,1.49,0.31,1.49,0.36,0.48,0.4,0.63,0.92,0.93,5.88,3.7,0.92,1.71,0.76,0.76,0.59,0.33,1.11,0.91,1.33,0.6,0.46,0.0,1.33,0.43,1.27,2.33
van Dongen_engagement,Moderate Engagement,Low Engagement,High Engagement,High Engagement,Low Engagement,Low Engagement,Moderate Engagement,Moderate Engagement,Moderate Engagement,High Engagement,High Engagement,Moderate Engagement,Moderate Engagement,Moderate Engagement,Low Engagement,Moderate Engagement,High Engagement,Moderate Engagement,Moderate Engagement,High Engagement,Moderate Engagement,High Engagement,High Engagement,High Engagement,Moderate Engagement,Moderate Engagement,Moderate Engagement,Low Engagement,Low Engagement,Moderate Engagement,Low Engagement,Moderate Engagement,Moderate Engagement,Moderate Engagement,High Engagement,Moderate Engagement,Moderate Engagement,Moderate Engagement,Moderate Engagement,High Engagement,High Engagement,Moderate Engagement,High Engagement,Moderate Engagement,Low Engagement
van Dongen_valence,6.66,0.0,12.58,-6.1,2.4,-11.81,0.36,14.97,1.74,7.32,0.0,-23.4,0.0,0.0,11.83,0.0,4.18,-12.3,0.0,-4.74,46.57,2.42,-3.41,-1.16,0.0,0.0,0.0,0.0,-8.09,0.03,-18.08,-3.98,-23.55,0.82,-10.93,0.0,-2.52,-8.95,-6.8,-3.46,5.14,-8.95,1.78,-22.96,-26.77
van Dongen_emotions,"neutral,neutral,neutral,surprise,neutral,surprise,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,anger,anger,anger,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,anger,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral","neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral","neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral","neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,anger,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral","neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,neutral,neutral,anger,anger,neutral,anger,anger,anger,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral","neutral,neutral,neutral,neutral,neutral,neutral","joy,joy,joy,joy,surprise,joy,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral","joy,joy,joy,joy,joy,joy,joy,neutral,neutral,neutral,joy,joy,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,joy,anger,anger,anger,neutral,neutral,anger,anger,anger,anger,neutral,neutral,joy,joy,joy,joy,joy,joy,neutral,joy","neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral","joy,joy,joy,joy,neutral,joy,joy,joy,joy,neutral,joy,joy,joy,joy,joy,joy,neutral,neutral,neutral,neutral,neutral,joy,neutral,neutral,neutral,neutral,anger,anger,anger,neutral,neutral,neutral,anger,anger,anger,neutral,neutral,neutral,neutral,joy","neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral","joy,anger,neutral,neutral,neutral,anger,anger,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral","neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral","neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,joy,joy,neutral,neutral,neutral,neutral,neutral,neutral","joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,anger,anger,anger,joy,anger,joy,joy,joy,joy,joy","neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral","neutral,joy,joy,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral","neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral","neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,sadness,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,sadness,neutral,neutral,neutral,sadness,sadness,neutral,neutral","surprise,neutral,neutral,neutral,neutral,surprise,anger,anger,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,anger,neutral,surprise,surprise,neutral,anger,anger,neutral,anger,anger,anger,neutral,anger,surprise,neutral","joy,joy,joy,joy,neutral,surprise,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,joy,joy,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,anger,anger,anger,neutral,neutral","neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,anger,anger,neutral,neutral,neutral,neutral","joy,joy,joy,neutral,neutral,neutral,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral","neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,neutral,neutral,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral","neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral","neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral","neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral","neutral,neutral,neutral,neutral,neutral,neutral,neutral","neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,joy,neutral,neutral,neutral","neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral","neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral","neutral,neutral,neutral,surprise,neutral,neutral,surprise,neutral,neutral,surprise,neutral,surprise,neutral,neutral,surprise,surprise,surprise,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,surprise,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral","neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral","joy,joy,joy,joy,joy,joy,joy,joy,surprise,neutral,anger,surprise,joy,joy,neutral,joy,joy,joy,joy,joy,neutral,neutral,joy,joy,joy,joy,neutral,neutral,joy,neutral,joy,joy,neutral,joy,joy,neutral,neutral,neutral,joy,neutral,joy,anger,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,neutral,neutral","neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral","neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral","neutral,joy,anger,neutral,neutral,anger,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,anger,anger,neutral,neutral,neutral,neutral,sadness,anger,sadness,anger,anger,surprise,neutral,neutral,sadness,neutral,neutral,neutral,neutral,joy","anger,joy,joy,surprise,surprise,anger,anger,anger,anger,anger,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,joy,surprise,surprise,surprise,neutral,sadness,sadness,sadness,surprise,anger,anger,anger,anger,anger,neutral,neutral,neutral,anger","joy,anger,anger,joy,joy,joy,neutral,neutral,joy,neutral,surprise,neutral,neutral,neutral,joy,surprise,surprise,neutral,neutral,anger,anger,anger,neutral,anger,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,joy,joy,joy","neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",,"anger,joy,joy,surprise,surprise,anger,anger,anger,anger,anger,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,joy,surprise,surprise,surprise,neutral,sadness,sadness,sadness,surprise,anger,anger,anger,anger,anger,neutral,neutral,neutral,anger","joy,joy,neutral,neutral,neutral,neutral,neutral,joy,neutral,neutral,neutral,neutral,neutral,anger,anger,neutral,anger,anger,neutral,neutral,anger,anger,anger,anger,neutral,neutral,anger,neutral,neutral,sadness,joy,neutral,neutral,neutral,joy,joy,joy,joy","neutral,neutral,neutral,surprise,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral","neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,surprise,neutral,neutral,anger,anger,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,surprise,joy,joy,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,anger,neutral,neutral,neutral,neutral"
Braque_presence,82.83,72.33,24.98,5.0,67.43,25.4,69.03,74.13,64.45,78.0,76.03,68.95,11.48,64.07,62.93,74.08,15.2,67.77,67.23,67.33,70.18,65.88,68.95,66.37,75.88,69.97,64.9,13.13,70.47,67.85,72.33,68.97,67.18,88.25,77.5,56.33,17.52,96.35,69.92,74.87,0.0,96.35,66.53,76.82,66.5
Braque_presence_audio,110.44,96.44,33.31,6.67,89.91,33.87,92.04,98.84,85.93,104.0,101.37,91.93,15.31,85.43,83.91,98.77,20.27,90.36,89.64,89.77,93.57,87.84,91.93,88.49,101.17,93.29,86.53,17.51,93.96,90.47,96.44,91.96,89.57,117.67,103.33,75.11,23.36,128.47,93.23,99.83,0.0,128.47,88.71,102.43,88.67
Braque_gaze,67.68,48.73,20.98,2.68,28.32,15.0,47.02,41.08,49.72,46.0,55.65,46.62,6.32,40.33,30.07,60.18,7.35,56.37,52.32,56.25,60.73,58.08,58.13,59.62,63.42,56.47,47.18,9.63,57.78,54.85,37.3,52.17,57.02,70.68,52.63,40.43,13.47,67.08,53.42,57.97,0.0,67.08,48.72,65.98,49.65
Braque_gaze_percent,81.71,67.37,83.99,53.6,42.0,59.06,68.12,55.42,77.15,58.97,73.19,67.61,55.05,62.95,47.78,81.24,48.36,83.18,77.82,83.54,86.53,88.16,84.31,89.83,83.58,80.71,72.7,73.34,81.99,80.84,51.57,75.64,84.88,80.09,67.91,71.77,76.88,69.62,76.4,77.43,0.0,69.62,73.23,85.89,74.66
Braque_saccade_rate,0.66,0.53,0.81,6.34,2.79,1.53,0.79,0.68,1.25,0.3,0.31,0.92,4.75,0.87,2.69,0.4,2.59,0.89,0.48,0.37,0.54,0.1,0.96,0.1,0.47,0.58,1.04,1.66,0.61,0.33,1.8,0.86,0.39,0.55,1.03,1.85,1.78,1.98,0.54,0.45,0.0,1.98,0.51,0.97,2.2
Braque_engagement,Moderate Engagement,Moderate Engagement,Moderate Engagement,Low Engagement,Low Engagement,Low Engagement,Moderate Engagement,Moderate Engagement,Moderate Engagement,High Engagement,High Engagement,Moderate Engagement,Low Engagement,Moderate Engagement,Low Engagement,High Engagement,Low Engagement,Moderate Engagement,High Engagement,High Engagement,Moderate Engagement,High Engagement,Moderate Engagement,High Engagement,High Engagement,Moderate Engagement,Moderate Engagement,Low Engagement,Moderate Engagement,High Engagement,Low Engagement,Moderate Engagement,High Engagement,Moderate Engagement,Moderate Engagement,Low Engagement,Low Engagement,Low Engagement,Moderate Engagement,High Engagement,High Engagement,Low Engagement,Moderate Engagement,Moderate Engagement,Low Engagement
Braque_valence,-4.58,5.97,-6.16,-14.57,9.11,,-5.8,-8.12,-7.65,-1.23,-17.76,-4.16,,0.0,12.88,0.0,,0.0,,-6.93,-24.41,-14.42,-12.79,-2.34,-13.44,11.04,-14.58,,2.46,-7.7,0.0,-6.56,-21.44,,-11.48,-6.84,0.37,-31.4,,-5.87,6.5,-31.4,,,-30.6
