Metric,N,Mean,Std,Median,Min,Max
SelfReportedLiking,336,28.216,15.653,27.500,1.000,53.000
GazeTime,336,54.548,18.866,55.480,5.060,109.840
GazePercent_Audio,336,75.574,19.171,80.840,7.820,99.800
SaccadeRate,336,8.858,3.578,8.000,2.650,27.840
TimeAtTheTile,336,91.484,29.903,87.690,55.620,286.800
TileTimePercent_Audio,336,127.036,31.400,116.315,106.930,328.600
ReactionTime,336,9.131,12.553,5.515,0.010,74.740
